2025/02/16 02:47:35.669602 开始执行程序...
2025/02/16 02:47:35.670125 ----------------------------------------
2025/02/16 02:47:35.670659 处理钱包地址: MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa
2025/02/16 02:47:35.670659 开始获取钱包 MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa 的代币列表...
2025/02/16 02:47:35.670659 ----------------------------------------
2025/02/16 02:47:36.152397 RPC代币数据: Mint=Bkd3BdAwCXtHvUUkJf3hiBCnnNLB1a1Rdhjb9KXipbh3, Amount=10000000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=8ZvkbZRePvitr1dYxrFhJvZfsGAkJSfE77Hu3EWXpump, Amount=30844196521, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=5qf8TEdAedEkAUanBtUMioLAFuGdGL5QMZgBJtWbpump, Amount=10280000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump, Amount=61330894125, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=2Y9Ru8qFFweakYxCA5RaSYPi4VtrTPrRpWC1sSWgxmoX, Amount=1000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=6sWet5H2qNpXnV5CwxSmRThx4z3uVtdjHqRB4VyMkJ8Z, Amount=2945000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=C79dRH3aB7xYSpeNkQUQV6dobdPFXyhpoEb1tz6C1rpD, Amount=11280001000000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=GFjcJJTzLmU5VSc76iizhqtcShFBUA6daRdU92QWAJXW, Amount=29739529000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=AUxUBx9xmMWm9jgjE5Mc7Xg1JMBKkQgQiBuwoek5y8Ut, Amount=690, Decimals=1
2025/02/16 02:47:36.152397 RPC代币数据: Mint=2Crpmvk14W1tzqLJ4QGc6KSkzHDju93jcqYq6kSs4BGi, Amount=3000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=TtxeFjF7XpqdM6LtDksHzzrySep7XNiGd7Edhqppump, Amount=1000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=AjuvuBareHvbQ1nmbvFkSkAWAqjvZRMLwG6DUukUpump, Amount=198000000, Decimals=6
